label,tags_count,hashtags_count,quotes,url,full_cap_words_count,cap_words_count,tag_realDonaldTrump,tweet_length,NN,DT,IN,JJ,NNS,VBZ,VBD,hr_publish_time_noon,hr_publish_time_evening-night
0,0,0,0,0,0.05,0.35,0,0.463,0.05,0,0.05,0,0.15,0.05,0.05,0,1
0,0,0,0,0,0.038461538,0.153846154,0,0.61,0.076923077,0.038461538,0.076923077,0.038461538,0.076923077,0,0,0,1
0,0,0,0,0,0,0.272727273,0,0.512,0.090909091,0.045454545,0,0,0,0.090909091,0.045454545,0,1
0,0,0,0,0,0.038461538,0.115384615,0,0.61,0.076923077,0.038461538,0.038461538,0.076923077,0.192307692,0,0.076923077,0,1
0,0,0,0,0,0.041666667,0.291666667,0,0.561,0.041666667,0,0,0.083333333,0.041666667,0,0,0,1
1,0,0,0,0,0,0.107142857,0,0.659,0.107142857,0.071428571,0.107142857,0.107142857,0,0.035714286,0.035714286,0,1
0,0,0,0,0,0,0.157894737,0,0.439,0.210526316,0.105263158,0.210526316,0.052631579,0.052631579,0,0,0,1
0,0.25,0.143,1,1,0,0.058823529,1,0.39,0.235294118,0.117647059,0.117647059,0.176470588,0.058823529,0,0.058823529,0,1
0,0.25,0,1,0,0,0.333333333,1,0.268,0.166666667,0,0,0.083333333,0,0,0,0,1
1,0,0.286,0,1,0,0,0,0.049,0.666666667,0,0,0,0,0,0,0,0
0,0.25,0.143,1,0,0,0.047619048,1,0.488,0.095238095,0,0.047619048,0.142857143,0.047619048,0,0.095238095,1,0
0,0.25,0.143,0,0,0.103448276,0.24137931,0,0.683,0.137931034,0.034482759,0.137931034,0.068965517,0.068965517,0.034482759,0,1,0
0,0.125,0,0,0,0.076923077,0.076923077,0,0.61,0.115384615,0.115384615,0.153846154,0.038461538,0.076923077,0,0.038461538,1,0
0,0.25,0,1,0,0.034482759,0.172413793,0,0.683,0.172413793,0,0.068965517,0.103448276,0.034482759,0.034482759,0.034482759,1,0
0,0.375,0,0,0,0,0.125,1,0.561,0.208333333,0.041666667,0.041666667,0.083333333,0.083333333,0.041666667,0,1,0
0,0.375,0,0,0,0,0.115384615,1,0.61,0.192307692,0.076923077,0.076923077,0.076923077,0.076923077,0.038461538,0,1,0
0,0.25,0,1,1,0,0,1,0.463,0.35,0.1,0.1,0.1,0,0,0,1,0
0,0.125,0.143,1,0,0.068965517,0.137931034,0,0.683,0.137931034,0.034482759,0,0.103448276,0.034482759,0.034482759,0.034482759,1,0
0,0.25,0,1,1,0,0.153846154,1,0.293,0.461538462,0,0.076923077,0.153846154,0,0,0,1,0
0,0.375,0,1,0,0,0.173913043,1,0.537,0.130434783,0.043478261,0.043478261,0.130434783,0.043478261,0.043478261,0.043478261,1,0
0,0,0,0,0,0,0.275862069,0,0.683,0.068965517,0.034482759,0.068965517,0.068965517,0.034482759,0.034482759,0.103448276,1,0
0,0.25,0,0,0,0,0.142857143,0,0.317,0.214285714,0.071428571,0.214285714,0,0,0,0,1,0
0,0.125,0.143,1,0,0.058823529,0.235294118,0,0.805,0.117647059,0.058823529,0.088235294,0.117647059,0.029411765,0.058823529,0,1,0
0,0,0,0,0,0,0.137931034,0,0.683,0.24137931,0.068965517,0.137931034,0,0.034482759,0,0.034482759,1,0
0,0,0,1,0,0,0.142857143,0,0.829,0.142857143,0,0.057142857,0.028571429,0,0.057142857,0.057142857,1,0
1,0,0,0,0,0,0.137931034,0,0.683,0.24137931,0.068965517,0.137931034,0,0.034482759,0,0.034482759,1,0
0,0.5,0,1,0,0,0.090909091,0,0.512,0.181818182,0.136363636,0.090909091,0.045454545,0.136363636,0.045454545,0.045454545,0,0
0,0.125,0,0,0,0.25,0.375,0,0.366,0.0625,0,0.125,0.0625,0,0,0,1,0
0,0.625,0,1,0,0,0.222222222,1,0.415,0.166666667,0.055555556,0.055555556,0.222222222,0,0,0,1,0
0,0.375,0,1,0,0.166666667,0.388888889,1,0.415,0.111111111,0,0,0.055555556,0.055555556,0.055555556,0,1,0
0,0.25,0,1,0,0.04,0.2,1,0.585,0.24,0.08,0.08,0.12,0.04,0,0.08,1,0
0,0.375,0,1,0,0.03125,0.1875,1,0.756,0.28125,0.0625,0.03125,0.03125,0,0,0.03125,1,0
0,0.5,0,1,1,0,0.071428571,1,0.317,0.285714286,0,0,0.214285714,0.071428571,0.071428571,0,1,0
0,0.125,0,1,0,0.2,0.4,0,0.585,0.12,0.04,0,0.04,0,0.04,0.08,1,0
0,0.375,0.143,1,0,0.076923077,0.076923077,1,0.293,0.461538462,0,0,0.153846154,0,0,0.076923077,1,0
0,0.25,0.286,1,0,0,0.1,1,0.22,0.2,0,0.1,0.1,0.1,0,0,1,0
0,0.375,0,1,0,0.041666667,0.208333333,1,0.561,0.291666667,0,0.083333333,0.041666667,0,0.041666667,0,1,0
0,0.25,0,1,0,0.058823529,0.264705882,0,0.805,0.117647059,0,0,0.088235294,0.029411765,0.029411765,0,1,0
0,0.375,0.143,1,0,0,0.05,1,0.463,0.2,0,0.05,0.1,0.05,0.05,0,1,0
0,0.375,0,1,0,0.1,0.1,1,0.22,0.4,0,0,0.2,0,0.1,0,1,0
0,0.5,0,1,0,0.083333333,0.083333333,1,0.268,0.416666667,0,0,0.083333333,0,0,0,1,0
1,0.125,0,0,0,0,0.133333333,0,0.341,0.133333333,0.066666667,0,0.2,0,0,0,0,1
0,0,0,1,0,0,0.071428571,0,0.659,0.214285714,0.035714286,0.071428571,0.071428571,0.035714286,0,0,1,0
0,0,0,1,0,0.028571429,0.142857143,0,0.829,0.228571429,0,0.142857143,0,0.028571429,0,0.085714286,1,0
